#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (Db),Tom,Compasso,Adicionado em,Spotify Track Id,Camelot,ISRC,Explícito
25,Chemical,Post Malone,61,170,pop,AUSTIN,2023-07-28,03:03,183,49,91,0,0,39,0,10,-5,D Major,4,2026-07-16,7jvtmQ3onpWeUm7dyFSSSc,10B,USUM72305205,yes
26,First Person Shooter (feat. J. Cole),"Drake,J. Cole",75,164,rap,For All The Dogs,2023-10-06,04:07,247,48,66,3,0,25,30,30,-7,B Minor,4,2026-07-17,7aqfrAY2p9BUSiupwk3svU,10A,USUG12306071,yes
27,FE!N (feat. Playboi Carti),"Travis Scott,Playboi Carti",86,148,"rap, rage rap",UTOPIA,2023-07-28,03:11,191,57,88,3,0,20,0,10,-3,D#/E♭ Minor,4,2026-07-17,42VsgItocQwOQC3XWZ8JNA,2A,USSM12305010,yes
28,SCIENTISTS & ENGINEERS (feat. Future & Eryn Allen Kane),"Killer Mike,André 3000,Eryn Allen Kane,Future",56,140,"southern hip hop, hip hop alternativo, jazz ambiente, neo soul, rap, trap",MICHAEL,2023-06-16,04:13,253,52,73,69,0,50,30,20,-7,F Minor,4,2026-07-17,1UsPflAuWTNteFUPJAJe8E,4A,USC4R2332611,yes
29,Burfict!,"JPEGMAFIA,Danny Brown",48,138,"rap experimental, hip hop alternativo, rap, experimental",SCARING THE HOES,2023-03-24,02:21,141,65,95,11,0,84,30,20,-1,C♯/D♭ Minor,4,2026-07-17,5IZpEuLMO5lEmN1Rr008p8,12A,QM4TX2336636,yes
30,Quaranta,Danny Brown,32,80,"rap experimental, hip hop alternativo, rap",Quaranta,2023-11-17,02:39,159,34,48,20,2,34,0,10,-12,C Minor,4,2026-07-17,7GqzDT97Bnn9MfGDYIWkrY,5A,GBBPW2300140,yes
31,the BLACK seminole.,"Lil Yachty,Diana Gordon",56,136,"hip hop alternativo, rap",Let’s Start Here.,2023-01-27,06:51,411,29,55,6,27,11,0,10,-6,A Minor,4,2026-07-17,1rydhdFtKe2CRkiaVb7aGF,8A,USUG12204687,no
32,Flooded The Face,Lil Uzi Vert,68,132,"rap melódico, rage rap, rap",Pink Tape,2023-06-30,03:12,192,64,61,49,0,39,30,10,-8,C♯/D♭ Minor,4,2026-07-17,4daEMLSZCgZ2Mt7gNm2SRa,12A,USAT22306846,yes
33,Never Die (feat. Lil Wayne),"Nas,Lil Wayne",43,95,"hip hop old school, east coast hip hop, hip hop, rap",Magic 3,2023-09-14,03:10,190,76,96,29,0,33,20,30,-3,D Minor,4,2026-07-17,5uTQKPRk3rfOOt97WIHf8f,7A,QMFME2307587,yes
34,Parade on Cleveland (feat. Drake),"Young Thug,Drake",64,166,"rap, rap melódico, trap",BUSINESS IS BUSINESS,2023-06-23,03:48,228,53,28,45,0,35,50,10,-13,D#/E♭ Minor,1,2026-07-17,05CTjmZKjZoCKQvM1Ldq9M,2A,USAT22306742,yes
