#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (Db),Tom,Compasso,Adicionado em,Spotify Track Id,Camelot,ISRC,Explícito
97,QUÍMICO AMOR,"FBC,Pedro Senna,Ugo Ludovico",39,125,"hip hop brasileiro, miami bass, boom bap, trap brasileiro","O AMOR, O PERDÃO E A TECNOLOGIA IRÃO NOS LEVAR PARA OUTRO PLANETA",2023-07-28,04:10,250,91,47,2,0,96,0,0,-8,A Minor,4,2026-07-20,6ptSto28yPKJizAVLbT5Jw,8A,BCFCX2300003,yes
98,ligações de alma,"Carol Biazin,Baco Exu do Blues",60,90,"pop nacional, nova mpb, hip hop brasileiro, trap brasileiro",REVERSA [in]ato,2023-12-12,02:59,179,75,50,26,0,46,30,20,-7,E Minor,4,2026-07-20,77Q89ukOsI7eucDvkrldsa,9A,BRUM72300825,no
99,De Amor Eu Não Morri,Lagum,42,81,"nova mpb, mpb, pop nacional",Depois do Fim,2023-04-14,03:26,206,76,63,18,0,56,0,40,-10,E Minor,4,2026-07-20,1OTdl6MWBFfSJZmbN16mgy,9A,BRSME2202186,no
100,Insista Em Mim,Ana Frango Elétrico,59,134,"nova mpb, mpb",Me Chama de Gato Que Eu Sou Sua,2023-10-20,03:32,212,61,53,9,0,64,0,20,-10,E Minor,4,2026-07-20,0Z9iYTBz8UthFfNyJ4nemD,9A,BXU9F2300007,no
101,Dance The Night,Dua Lipa,70,110,pop,Barbie The Album,2023-07-21,02:56,176,67,85,2,0,78,0,30,-5,B Minor,4,2026-07-21,11C4y2Yz1XbHmaQwO06s9f,10A,USAT22305730,no
102,Houdini,Dua Lipa,45,117,pop,Houdini,2023-11-09,03:05,185,74,79,0,0,87,0,0,-5,A Minor,4,2026-07-21,65AjgsSuwgD1vj7Y7XGe6I,8A,GBAHT2301246,no
103,Water,Tyla,86,117,afrobeats,Water,2023-07-28,03:20,200,67,72,9,0,52,0,10,-3,D#/E♭ Minor,4,2026-07-21,5aIVCx5tnk0ntmdiinnYvw,2A,USSM12305126,no
104,Feather,Sabrina Carpenter,83,124,pop,emails i can’t send fwd:,2023-03-17,03:05,185,79,69,7,0,83,0,10,-4,F#/G♭ Minor,4,2026-07-21,2Zo1PcszsT9WQ0ANntJbID,11A,USUM72301876,yes
105,Never Felt So Alone,Labrinth,74,98,"indie rock, pop",Never Felt So Alone,2023-04-07,02:40,160,44,41,50,0,36,0,30,-4,F Major,3,2026-07-21,2NbsBSshscKIPRG3kwBbfo,7B,USSM12302165,no
106,Popular (with Playboi Carti & Madonna),"The Weeknd,Playboi Carti,Madonna",61,99,"rage rap, pop",Popular,2024-01-26,03:35,215,85,67,5,0,85,10,50,-6,C♯/D♭ Major,4,2026-07-21,1L8ObNUDCh7k6GwDIbfx9Q,3B,USUG12303876,yes
107,The Hillbillies,"Baby Keem,Kendrick Lamar",62,150,"hip hop, west coast hip hop",The Hillbillies,2023-06-05,03:24,204,80,62,2,0,21,10,10,-6,C♯/D♭ Major,4,2026-07-21,1h6w4POXM2LfG4ZD4xUfZQ,3B,USSM12303805,yes
108,"To Summer, From Cole - Audio Hug","Summer Walker,J. Cole",67,74,"r&b, rap",CLEAR 2: SOFT LIFE EP,2023-05-19,02:27,147,73,47,71,0,60,30,10,-10,F#/G♭ Minor,4,2026-07-21,2f86Ae3R4OKAu1lEIqouih,11A,USUM72304857,yes
109,All My Life (feat. J. Cole),"Lil Durk,J. Cole",71,143,"drill de chicago, drill, rap",Almost Healed,2023-05-26,03:43,223,79,57,4,0,73,20,10,-6,D#/E♭ Major,4,2026-07-21,6T7FXSuXykeGktMLGp8WgE,5B,USQX92302957,yes
110,The Secret Recipe,"Lil Yachty,J. Cole",51,145,rap,The Secret Recipe,2023-09-29,04:08,248,57,81,70,0,69,30,10,-5,F Major,4,2026-07-21,51RaJOy09JMFHyPaDgXxBO,7B,USUG12300155,yes
111,Van Gogh (feat. Lil Yachty),"JID,Lil Yachty",53,138,rap,BlakkBoyz present Half Doin Dope/Van Gogh,2023-09-01,02:06,126,76,66,9,0,49,20,10,-6,D Major,4,2026-07-21,2tcI5EedPVjrxwewRQs62W,10B,USUM72312836,yes
112,Search & Rescue,Drake,76,140,rap,Search & Rescue,2023-04-07,04:32,272,83,44,8,0,53,0,30,-9,A#/B♭ Minor,4,2026-07-21,7aRCf5cLOFN1U7kvtChY1G,3A,USUG12301601,yes
113,Who Told You (feat. Drake),"J Hus,Drake",65,77,"afroswing, grime, grime reino unido, afrobeats, rap",Beautiful And Brutal Yard,2023-07-14,03:28,208,71,73,16,0,88,30,10,-5,B Minor,5,2026-07-21,6kgaI3kHkqmRimeGQdS4Ga,10A,GBARL2300716,yes
114,Sprinter,"Dave,Central Cee",48,139,"grime, grime reino unido, drill reino unido, drill",Split Decision,2023-06-04,03:49,229,92,68,26,0,71,20,0,-5,C♯/D♭ Major,4,2026-07-21,7aLt8oC8wpjV1PoZUGpFRD,3B,GBUM72305159,yes
115,Favorite Song,Toosii,69,116,rap,NAUJOUR,2023-06-02,03:24,204,81,38,27,0,43,0,10,-9,D Major,4,2026-07-21,5Bvhk3wx42kkDEggSQIwqL,10B,USUM72301797,no
116,Lovin On Me,Jack Harlow,82,105,rap,Lovin On Me,2023-11-10,02:18,138,94,56,0,0,61,0,0,-5,D Major,4,2026-07-21,4xhsWYTOGcal8zt0J161CU,10B,USAT22311371,yes
117,Doomsday (with Juice WRLD & Cordae),"Lyrical Lemonade,Juice WRLD,Cordae",59,93,"rap melódico, rap emo, rap",Doomsday,2023-06-23,02:30,150,73,70,7,0,85,20,30,-4,C♯/D♭ Major,4,2026-07-21,3bkpVSoNvBkvt9LJMFT5at,3B,USUG12303674,yes
118,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin,A$AP Rocky,Roisee",81,90,"rap",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,04:16,256,60,54,5,0,13,0,20,-8,A Minor,4,2026-07-21,6Ec5LeRzkisa5KJtwLfOoW,8A,USUM72308540,no
119,SHAQ & KOBE,"Rick Ross,Meek Mill",53,174,"southern hip hop, rap",Too Good To Be True,2023-11-10,03:39,219,49,74,19,0,48,50,20,-5,A#/B♭ Minor,4,2026-07-21,6FAFmXCsjrIV4Vu7ee7WuX,3A,QZSYP2303880,yes
120,Big Dog (with Lil Wayne),"Benny The Butcher,Lil Wayne",45,147,"boom bap, rap, hip hop",Big Dog,2023-11-03,04:13,253,61,78,53,0,43,40,30,-6,B Minor,4,2026-07-21,4EKfEZ89t2DzU41RbsyFC6,10A,USUG12307119,yes
121,Brand New,"Tyga,YG,Lil Wayne",49,103,"hyphy, rap, hip hop",Hit Me When U Leave The Klub: The Playlist,2023-09-29,03:02,182,61,52,17,0,52,30,30,-6,C♯/D♭ Major,4,2026-07-21,697cBYjdAjPKe0RsEc6532,3B,USUYG1507439,yes
122,Princess Diana (with Nicki Minaj),"Ice Spice,Nicki Minaj",40,148,rap,Like..?,2023-01-20,02:52,172,90,69,17,0,77,10,10,-5,A Major,4,2026-07-21,5srVvRaKkYnzTCxgEQmHcg,11B,USUG12300215,yes
123,SORRY NOT SORRY,"Tyler, The Creator",66,96,rap,CALL ME IF YOU GET LOST: The Estate Sale,2023-03-31,03:26,206,48,80,40,0,50,20,30,-4,F#/G♭ Minor,3,2026-07-21,410ZZP746AQeiywhKvXWCo,11A,USQX92301939,yes
124,VULTURES,"¥$,Kanye West,Ty Dolla $ign,Bump J",54,146,"rap, trap soul, drill de chicago",VULTURES,2023-11-22,03:57,237,71,55,14,0,56,20,10,-7,C♯/D♭ Minor,4,2026-07-21,7KlhGxWSB9ljGK6gEKIGhi,12A,CA5KR2406316,yes
125,Sittin' On Top Of The World (feat. 21 Savage),"Burna Boy,21 Savage",53,98,"afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano, rap",I Told Them...,2023-08-24,03:08,188,80,85,3,0,77,0,10,-4,C♯/D♭ Major,4,2026-07-21,0TIYRdf5622SXVPEDvawPy,3B,USAT22306274,yes
126,Best Time,Brent Faiyaz,79,93,r&b,Larger Than Life,2023-10-27,01:22,82,81,31,16,0,70,10,0,-7,A Major,4,2026-07-21,1zgHn1EqUyA0HqNYMdJ5ia,11B,QZNMY2304784,yes
127,Praise Jah In The Moonlight,YG Marley,76,125,reggae,Praise Jah In The Moonlight,2023-12-27,04:23,263,66,73,13,0,42,0,50,-4,F#/G♭ Minor,4,2026-07-21,3h5TiWTqGxjSjFrbruPFH9,11A,CH7811111177,no
128,Rumble,"Skrillex,Fred again..,Flowdan",66,140,"dubstep, edm, electro, eletronic, stutter house, house, drum and bass, grime, garage reino unido",Quest For Fire,2023-02-17,02:26,146,81,84,5,23,6,0,0,-8,C♯/D♭ Minor,4,2026-07-21,74fmYjFwt9CqEFAh8ybeBD,12A,USAT22221613,no
129,Rush,Troye Sivan,82,126,"electro, dance pop, pop",Something To Give Each Other,2023-10-13,02:36,156,73,84,0,0,40,0,10,-8,A#/B♭ Minor,4,2026-07-21,4ZnkygoWLzcGbQYCm3lkae,3A,AUUM72300170,yes
130,greedy,Tate McRae,66,111,pop,THINK LATER,2023-12-08,02:09,129,75,71,28,0,86,0,20,-4,F#/G♭ Minor,1,2026-07-21,4kfSXPK13aXkLzuz02hCSC,11A,USRC12301932,yes
131,Padam Padam,Kylie Minogue,71,128,"dance pop, pop",Tension (Deluxe),2023-09-22,02:46,166,74,62,22,0,70,20,10,-8,F Major,4,2026-07-21,44MuEHdlociG8KjhPhOVw5,7B,GB5KW2301017,no
132,Single Soon,Selena Gomez,67,105,pop,Single Soon,2023-08-25,02:51,171,61,57,1,0,75,0,10,-6,D Major,4,2026-07-21,6iF4RgIjDvDqyW13PezSj3,10B,USUM72310919,no
133,Cupid,FIFTY FIFTY,70,120,k-pop,The Beginning,2023-09-22,02:54,174,77,72,53,0,91,0,30,-5,D Major,4,2026-07-21,4TqmTBSWsZXMj3LouLEvXn,10B,KSA012239180,no
134,Super Shy,NewJeans,62,150,k-pop,NewJeans 2nd EP 'Get Up',2023-07-21,02:34,154,78,82,18,0,52,0,10,-6,F Minor,4,2026-07-21,0kwrPQkiGVE8KTHalH1uMo,4A,USA2P2330068,no
135,FLOWER,JISOO,70,124,k-pop,ME,2023-03-31,02:53,173,84,39,3,0,64,0,10,-8,A Minor,4,2026-07-21,69CrOS7vEHIrhC2ILyEi0s,8A,KRA402300002,no
136,Like Crazy,Jimin,78,120,k-pop,FACE,2023-03-24,03:32,212,63,73,0,0,36,0,30,-5,G Major,4,2026-07-21,3Ua0m0YmEjrMi9XErKcNiR,9B,USA2P2251865,no
137,Seven (feat. Latto) (Explicit Ver.),"Jung Kook,Latto",85,125,"k-pop, pop",GOLDEN,2023-11-03,03:03,183,79,83,31,0,87,0,0,-4,B Major,4,2026-07-21,2HRgqmZQC0MC7GeNuDIXHN,1B,USA2P2330093,yes
138,Oral,"Björk,ROSALÍA",49,171,"art pop, trip hop, latino, pop",Oral,2023-11-21,03:42,222,25,69,31,0,27,0,10,-6,B Minor,4,2026-07-21,2zBiGZhXWueCpKqIeKAssH,10A,GBBTF2300205,no
139,Strangers,Kenya Grace,78,170,"electro, dance pop, pop",Strangers,2023-09-01,02:52,172,63,52,70,0,42,0,20,-8,B Minor,4,2026-07-21,5mjYQaktjmjcMKcUIcqz4s,10A,USWB12305048,no
140,Daylight,David Kushner,75,130,pop,Daylight,2023-04-14,03:32,212,51,43,83,0,32,0,0,-9,D Minor,4,2026-07-21,4Gg1tYCl7rWR4laKbdtPA4,7A,QZXDB2300005,no
141,Lose Control,Teddy Swims,90,160,pop,I've Tried Everything But Therapy (Part 1),2023-09-15,03:30,210,56,60,20,0,24,0,10,-4,A Major,3,2026-07-21,17phhZDn6oGtzMe56NuWvj,11B,USWB12302315,no
142,Will Anybody Ever Love Me?,Sufjan Stevens,52,81,pop barroco,Javelin,2023-10-06,04:09,249,46,54,71,1,44,0,10,-9,A#/B♭ Major,4,2026-07-21,7IAx9OvToHkT8C4ZlX9hwe,6B,US64G2317103,no
143,Now And Then,The Beatles,64,87,"rock clássico, rock psicodélico",Now And Then,2023-11-02,04:08,248,45,61,23,0,31,0,30,-5,A Minor,4,2026-07-21,4vziJcnB2Qyi9o4nIRUeN7,8A,GBUM72203947,no
144,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),"Bring Me The Horizon,Lil Uzi Vert,Daryl Palumbo,Glassjaw",57,105,"metalcore, emo, rock, screamo, metal, rap melódico, rage rap, post-hardcore, mathcore",AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),2023-06-01,03:09,189,47,94,0,0,29,10,40,-3,B Major,3,2026-07-21,5viZ8CLipufc1Q1NXpMRNN,1B,GBARL2300647,yes
145,Fast Car,Luke Combs,86,98,country,Gettin' Old,2023-03-24,04:25,265,71,60,19,0,67,0,10,-6,G#/A♭ Major,4,2026-07-21,1Lo0QY9cvc8sUB2vnIOxDT,4B,US6XF2200436,no
146,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan,Kacey Musgraves",88,78,"country, red dirt",Zach Bryan,2023-08-25,03:47,227,43,45,55,0,16,0,10,-8,C Major,4,2026-07-21,4KULAymBBJcPRpk1yO4dOG,8B,USWB12304903,no
147,Try That In A Small Town,Jason Aldean,70,146,"country, country acústico",Highway Desperado,2023-11-03,03:01,181,46,86,6,0,38,0,10,-4,C Minor,4,2026-07-21,5BqI4ugJL5WaPRQ6MlC8Ho,5A,QMRSZ2300454,yes
148,"Shakira: Bzrp Music Sessions, Vol. 53/66","Bizarrap,Shakira",79,122,"trap argentino, trap latino, urbano latino, pop latino","Shakira: Bzrp Music Sessions, Vol. 53/66",2023-01-11,03:34,214,84,75,28,0,53,0,10,-4,D Minor,4,2026-07-21,4nrPB8O7Y7wsOCJdgXkthe,7A,UYB282301031,no
149,Ella Baila Sola,"Eslabon Armado,Peso Pluma",78,148,"corridos tumbados, sierreño triste, corrido, sierreño, música mexicana, corridos bélicos, banda music",DESVELADO,2023-04-28,02:45,165,67,76,48,0,83,0,0,-5,F Minor,3,2026-07-21,3qQbCzHBycnDpGskqOWY0E,4A,USE7D2300007,no
150,BELLAKEO,"Peso Pluma,Anitta",74,180,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño triste, banda music, pop nacional, funk pop, funk, funk carioca",BELLAKEO,2023-12-07,03:17,197,72,88,6,6,46,10,10,-3,A Major,4,2026-07-21,05WVKTdZhlIMX4qqMLuo0f,11B,QMFMF2388143,yes
151,Joga Pra Lua,"Anitta,DENNIS,PEDRO SAMPAIO",56,134,"pop nacional, funk pop, funk, funk carioca, funk melody, brega funk",Joga Pra Lua,2023-12-15,02:05,125,91,95,40,0,87,0,10,-3,A Minor,4,2026-07-21,1CtcgU1q0BgJN4Aottdscu,8A,USUG12309805,no
152,POCPOC,PEDRO SAMPAIO,62,130,"funk, funk pop, funk carioca, pop nacional, brega funk",POCPOC,2023-11-23,02:07,127,84,64,24,0,86,0,0,-4,A#/B♭ Minor,4,2026-07-21,0oQCRjrWGvkqkdf82UlXI3,3A,BRWMB2301411,no
153,PROIBIDONA,"Gloria Groove,Anitta,Valesca Popozuda",43,76,"pop nacional, funk pop, pagode, funk, funk carioca",FUTURO FLUXO,2023-11-09,02:35,155,48,59,8,0,38,20,10,-6,C♯/D♭ Major,5,2026-07-21,0Tqnom8PwHN01ntaY5KDiE,3B,BXSBS2300001,no
154,Tá OK,"DENNIS,MC Kevin o Chris",69,130,"funk, funk carioca, funk pop, funk melody, brega funk",Tá OK,2023-05-04,01:32,92,86,96,50,1,59,0,0,-1,B Major,4,2026-07-21,0fABszUFNbNq9IW503Gj8v,1B,BRSME2300692,no
155,Faz um Vuk Vuk (Teto Espelhado),"MC Kevin o Chris,Dj Nk Da Serra,Mc Magrinho",31,130,"funk, funk carioca, brega funk, funk de bh, funk bruxaria",Tamborzão Raiz: Vol 2,2023-08-11,02:18,138,92,41,50,5,68,0,10,-8,G Minor,4,2026-07-21,5cGWxJwzJxeeJzqxkqgPnY,6A,BX5EU2300034,yes
156,Novidade na Área,"Mc Livinho,DJ Matt D",65,130,"funk, funk carioca, funk consciente, trap funk, trap brasileiro",Novidade na Área,2023-06-23,02:00,120,63,34,76,0,36,0,30,-12,F Major,4,2026-07-21,2uhw2oYbugGJbn10wipNX5,7B,BCDMP2300045,yes
157,Automotivo Bibi Fogosa,"Bibi Babydoll,Dj Brunin XM,KZA Produções",74,135,"phonk, phonk brasileiro",Automotivo Bibi Fogosa,2023-11-10,02:09,129,72,85,26,0,77,0,10,-3,A Major,4,2026-07-21,2JIzOc3HHo4MhiyZzhpBUV,11B,QZMZ92361338,yes
158,Vai Novinha Ah Ah Ah,Dyamante DJ,57,130,"funk carioca, funk",Ritmo dos Crias,2023-05-25,02:03,123,91,89,17,1,81,0,0,-4,C Major,4,2026-07-21,3Nvzs0cJbLwhXPPlI8xzpC,8B,BCWV12300010,yes
159,VAMPIRO DE MADUREIRA,"Mc Carol,Mc Gorila",59,130,"brega funk, funk, pop nacional, funk pop, funk melody",TRALHA,2023-10-25,02:11,131,94,59,2,0,61,20,20,-6,A#/B♭ Minor,4,2026-07-21,7p33kIvDxWjzU8qc1Asxlo,3A,BXUBN2300001,yes
160,Posturado E Calmo,Léo Santana,60,113,"pagode baiano, axé, pagode, piseiro, arrocha, pop nacional",Another One,2023-04-14,03:07,187,93,88,70,0,79,0,50,-5,A Major,4,2026-07-21,15nTZqWfpXZk9Xh043Ognh,11B,BRUM72300252,no
161,Macetando,"Ivete Sangalo,LUDMILLA",58,130,"axé, pagode baiano, mpb, pop nacional, pagode, funk pop, funk, funk carioca, samba",Macetando,2023-12-15,02:47,167,84,76,9,0,78,0,70,-5,D Major,4,2026-07-21,4uR8CslffeNgPZ3lSuyfAc,10B,BKS182300001,no
162,Engana Dizendo Que Ama,"Veigh,Tz da Coronel,Toledo,Nagalli,Bvga Beatz,Supernova Ent",71,112,"trap brasileiro, trap funk, trap, hip hop brasileiro",Dos Prédios Deluxe,2023-05-19,03:08,188,79,36,54,0,53,30,10,-10,F#/G♭ Minor,4,2026-07-21,39xOREhViooEYFpmnKTdrl,11A,QZMWW2396003,yes
163,7 NOVINHA PRA 2 MLK - BONUS TRACK,"Derek,Emitê Único,Senndy",54,130,"trap brasileiro, trap, hip hop brasileiro, trap funk",Trap The Fato Deluxe,2023-10-06,03:00,180,81,64,0,0,30,20,60,-5,C♯/D♭ Major,4,2026-07-21,53d5THIukxStMHSJrGOOvu,3B,BRUM72301354,yes
164,Esqueceu Seu Brinco,"CJota,Yunk Vino,Luccas Carlos",57,121,"trap brasileiro, trap funk, trap, hip hop brasileiro, pop nacional",O Menino do Cabelo Rosa,2023-10-05,03:44,224,80,51,32,0,59,0,10,-9,C♯/D♭ Minor,4,2026-07-21,0rFCtvW7paykZjbcflVOie,12A,QZWDE2333794,yes
165,Queen Chavosa,"AJULLIACOSTA,MAT",55,120,rap,"Brutas Amam, Choram e Sentem Raiva",2023-10-19,02:40,160,85,62,10,0,55,50,10,-9,A#/B♭ Minor,4,2026-07-21,1qDfZrxU4JFbJpb6u4ojCQ,3A,BXULA2300003,yes
166,Minha Vida é um Filme,Teto,61,99,"trap brasileiro, trap, trap funk, hip hop brasileiro",Minha Vida é um Filme,2023-04-01,03:06,186,86,75,15,0,59,0,30,-5,F Minor,4,2026-07-21,0FBV7lozkqCSuV2q24n43x,4A,BXW922300006,yes
167,Flow Espacial,"Teto,WIU,Matuê",65,162,"trap brasileiro, trap, trap funk, hip hop brasileiro",Flow Espacial,2023-01-30,02:45,165,71,69,2,0,45,10,0,-6,C♯/D♭ Major,4,2026-07-21,4qDT0BeJ7BjatrN9k8AvB4,3B,BXW922300003,yes
168,Beleza Exótica,"Raffa Moreira,Matuê,Jay Kay",40,154,"trap brasileiro, hip hop brasileiro, trap, trap funk",Beleza Exótica,2023-03-10,02:37,157,73,63,39,0,58,30,10,-5,A#/B♭ Minor,4,2026-07-21,2hvpRKeyFQtB4a5aV9YvfV,3A,USLZJ2311285,no
169,Conexões de Máfia (feat. Rich The Kid),"Matuê,Rich The Kid",67,117,"trap brasileiro, trap, hip hop brasileiro, trap funk",Conexões de Máfia (feat. Rich The Kid),2023-04-30,03:41,221,77,58,39,0,69,0,20,-7,F#/G♭ Minor,4,2026-07-21,3ktTWpYdXrYApH54cBo4Ap,11A,BXW922200014,yes
170,Melhor Assim,"Cesar Mc,Noventa,Dudu,Felipe Artioli",33,106,"hip hop brasileiro, trap brasileiro, trap",Ligações Estranhas,2023-10-19,05:53,353,77,42,53,5,47,0,10,-10,F#/G♭ Major,4,2026-07-21,1QYLAJddkFWllFwiqHfMf0,2B,QZNMX2390082,no
171,Lista De Contato,"Dudu,Ryu, The Runner,Ecologyk",51,128,"trap brasileiro, hip hop brasileiro, trap, trap funk",Lista De Contato,2023-09-29,02:02,122,82,37,77,0,45,0,10,-9,C♯/D♭ Minor,4,2026-07-21,6HQG4Qek65p5TwbMalqN1M,12A,BRRGE2300713,no
172,Me Sinto Oruam,"Ryu, The Runner,Leviano,Prod.Chipzz",53,128,"trap brasileiro, trap, trap funk, hip hop brasileiro",EVDC DELUXE,2023-07-28,02:22,142,77,47,54,0,72,20,0,-11,B Minor,4,2026-07-21,5QxjPkDZUpgYBHRDAwKauj,10A,BRRGE2300469,yes
173,Sem Compaixão,"Leviano,MC Cabelinho",56,119,"trap brasileiro, trap, trap funk, hip hop brasileiro, funk consciente",Vetin,2023-11-28,03:22,202,92,57,11,0,54,0,0,-4,G#/A♭ Major,4,2026-07-21,1JY0M9yLPgv9VChWoCunYX,4B,BKM2L2300056,yes
174,De Marola,"Azevedo,MC Cabelinho,Dallass,Skinny Beats",60,119,"trap brasileiro, hip hop brasileiro, trap funk, trap, funk consciente",Paz Terrível,2023-09-22,02:49,169,76,68,41,0,52,0,0,-3,A#/B♭ Minor,4,2026-07-21,5DlrNzF7YmK2dZBjfr0qZ2,3A,BKM2L2300064,no
175,Loucura,"Borges,MC Cabelinho,Veigh,RUXN,Palma,Kizzy",68,80,"trap brasileiro, trap, trap funk, hip hop brasileiro, funk consciente",Amor e Ódio,2023-12-13,02:59,179,46,68,59,0,70,10,20,-6,G#/A♭ Major,3,2026-07-21,4QCwvUs4ob87Tq9VP07Uo3,4B,BCM9A2300102,yes
176,Ballena,"Vulgo FK,MC PH,Veigh,Pedro Lotto,Fepache",62,120,"trap brasileiro, trap funk, trap, funk, hip hop brasileiro, funk consciente",Ballena,2023-07-13,03:20,200,66,51,31,0,23,30,10,-8,A Minor,4,2026-07-21,0NkOJBVzL0MaU3JgqJRtkv,8A,BRRGE2300535,no
177,Se Acaba (feat. Mc Don Juan & MC Ryan SP),"Xamã,Vulgo FK,Mc Don Juan,MC Ryan SP",33,120,"hip hop brasileiro, trap brasileiro, trap funk, trap, funk, funk consciente",O Último Romântico Online,2023-05-25,03:38,218,73,72,47,0,73,0,10,-4,F#/G♭ Minor,4,2026-07-21,0eQeAyiExwlJx3ltzzRrrv,11A,BX7WJ2300004,yes
178,Cachimbo da Paz 2,"Gabriel O Pensador,Lulu Santos,Xamã,Keviin",42,98,"hip hop brasileiro, rock brasileiro, mpb, pop nacional, trap brasileiro, trap funk, trap, nova mpb",Antídoto Pra Todo Tipo de Veneno,2023-08-18,04:42,282,79,73,19,0,53,10,30,-7,B Minor,4,2026-07-21,2ZeG4NqS9tRoUa6LGjAP2I,10A,BRHPH2300001,yes
179,Melhor Só,"KayBlack,Baco Exu do Blues,Marquinho no Beat",70,142,"trap brasileiro, trap funk, trap, hip hop brasileiro, funk",Melhor Só,2023-03-30,03:49,229,61,39,27,0,55,10,10,-10,F Minor,4,2026-07-21,2LTlykcdu0gwb7zcKneo2a,4A,BRWMB2300643,no
180,Mano Underground,"Jotapê,Greezy,Original Quality",46,145,"hip hop brasileiro, boom bap, trap brasileiro, trap, trap funk",Mano Underground,2023-06-20,02:53,173,86,69,22,0,58,20,0,-6,B Major,4,2026-07-21,4HeEtMbj1TSvib7SdVNaOu,1B,BXJK02300069,yes
181,Fantástico Mundo da Oakley - Bonus Track,"Kyan,Mu540",52,130,"trap brasileiro, trap funk, trap, hip hop brasileiro",UM Quebrada Inteligente,2023-07-13,03:20,200,91,71,45,0,72,10,0,-4,C♯/D♭ Major,4,2026-07-21,52cev0H35ReX3aS2URGbK6,3B,BKRQM2300013,yes
182,Espero Que Entendam - Freestyle,"Ebony,LARINHX",64,160,rap,Espero Que Entendam (Freestyle),2023-11-29,03:31,211,82,54,11,0,70,20,10,-7,C Major,4,2026-07-21,6CEo5VbkRxIZdZMQfq0uz9,8B,BKHA72300001,yes
183,Oompa Loompa,Slipmami,62,130,rap,Malvatrem,2023-01-25,03:14,194,81,58,6,0,72,0,0,-8,B Major,4,2026-07-21,7jkJFBfBHW78JccPtxMdOU,1B,BX3AW2200035,yes
184,SSA,"Sant,Luedji Luna,VANDAL,LP Beatzz,ajcookin",40,103,"hip hop brasileiro, boom bap, nova mpb, afro house, rap",de: para:,2023-08-11,03:41,221,77,65,13,0,31,30,0,-6,F#/G♭ Minor,4,2026-07-21,6Nxen9xbsxg21xacXHlwfX,11A,BRRGE2300266,no
185,Mas Existe um Lugar - Remix,"Cryzin,Manoel Gomes,Kaio Viana,Noemi Leal",38,79,"trap brasileiro, piseiro, brega, seresta, arrocha, forró, funk",Mas Existe um Lugar (Remix),2023-07-07,03:03,183,53,44,22,0,33,30,20,-10,D Major,5,2026-07-21,1EDiCVKLfpErWLYhrQNzZn,10B,BCKKP2300053,yes
186,Love Absurdo,"Mari Fernandez,MC Ryan SP,Mc Daniel",50,130,"piseiro, sertanejo, forró, arrocha, agronejo, sertanejo universitário, funk, funk consciente, trap funk",Love Absurdo,2023-02-09,03:04,184,73,87,18,0,81,0,30,-3,E Minor,4,2026-07-21,7aZnuwpivaj4N7XFhhqBiO,9A,BCZT72300001,no
187,DENTRO DA HILUX,"Luan Pereira,Mc Daniel,MC Ryan SP",63,130,"agronejo, sertanejo, sertanejo universitário, piseiro, funk, trap funk, funk consciente",DENTRO DA HILUX,2023-08-24,02:43,163,73,53,9,0,33,0,0,-6,F#/G♭ Minor,4,2026-07-21,3jTyFoGeD3DTu9cnnctMWN,11A,BCX5C2300025,no
188,Let's Go 4,"Dj GBR,Mc IG,MC Ryan SP,MC PH,Mc Davi,Mc Luki,Mc Don Juan,Mc Kadu,TrapLaudo,MC GP,MC GH do 7",71,113,"funk, trap funk, funk consciente, trap brasileiro",Let's Go 4,2023-08-29,10:41,641,78,63,12,0,87,50,0,-8,A#/B♭ Minor,5,2026-07-21,2InS5VWKJQbsFBKOsf1cJB,3A,BXG6R2300792,yes
189,Saudade,"Ferrugem,Luísa Sonza",44,140,"pagode, samba, pop nacional, funk pop, funk",Interessante,2023-08-11,02:47,167,69,72,67,0,63,10,30,-6,E Minor,4,2026-07-21,64vxHp71d0OImJMNrzvtrk,9A,BRWMB2300824,no
190,Lapada Dela - Ao Vivo,"Grupo Menos É Mais,Matheus Fernandes",76,167,"pagode, samba, piseiro, sertanejo, forró, arrocha",Confia (Ao Vivo),2023-01-20,02:39,159,69,75,71,0,68,10,90,-7,E Minor,4,2026-07-21,4f0aDk7HX37SfzerfznYlr,9A,BCM8E2300013,no
